Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
59	104	0	0.774191163	293.2	293.2	293.2	293.2	8.38928145e-008	0	0	0.000173592	0	0	3
60	105	0	0.787313048	293.2	293.2	293.2	293.2	7.40259907e-008	0	0	0.000175564	0	0	3
61	107	0	0.800434932	293.2	293.2	293.2	293.2	6.5285235e-008	0	0	0.000174225	0	0	3
62	109	0	0.813556816	293.2	293.2	293.2	293.2	5.83689825e-008	0	0	0.000175454	0	0	3
63	111	0	0.8266787	293.2	293.2	293.2	293.2	5.2953169e-008	0	0	0.000173733	0	0	3
64	112	0	0.839800584	293.2	293.2	293.2	293.2	4.74862532e-008	0	0	0.000175635	0	0	3
65	114	0	0.852922468	293.2	293.2	293.2	293.2	4.34337721e-008	0	0	0.000174285	0	0	3
66	116	0	0.866044352	293.2	293.2	293.2	293.2	3.91040089e-008	0	0	0.000175758	0	0	3
67	117	0	0.879166236	293.2	293.2	293.2	293.2	3.45698936e-008	0	0	0.000173874	0	0	3
68	119	0	0.892288121	293.2	293.2	293.2	293.2	2.87483317e-008	0	0	0.000175746	0	0	3
69	121	0	0.905410005	293.2	293.2	293.2	293.2	2.04340154e-008	0	0	0.000174114	0	0	3
70	123	0	0.918531889	293.2	293.2	293.2	293.2	1.250487e-008	0	0	0.000175939	0	0	3
71	124	0	0.931653773	293.2	293.2	293.2	293.2	7.03960268e-009	0	0	0.000174694	0	0	3
72	126	0	0.944775657	293.2	293.2	293.2	293.2	3.2704861e-009	0	0	0.000176149	0	0	3
73	128	0	0.957897541	293.2	293.2	293.2	293.2	1.40454404e-009	0	0	0.000174258	0	0	3
74	130	0	0.971019425	293.2	293.2	293.2	293.2	7.33336947e-010	0	0	0.000176144	0	0	3
75	131	0	0.98414131	293.2	293.2	293.2	293.2	7.33336947e-010	0	0	0.000174884	0	0	3
76	133	0	0.997263194	293.2	293.2	293.2	293.2	7.33336947e-010	0	0	0.000176429	0	0	3
77	134	0	1.01038508	293.2	293.2	293.2	293.2	7.33336947e-010	2.932e-006	100	0.000174303	0	0	3
