Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
21	35	0	0.275559567	101325.265	101325.345	101325.265	101325.789	0.443537043	0	0	458.488	0	0	3
22	37	0	0.288681451	101325.262	101325.341	101325.262	101325.789	0.447299326	0	0	457.359	0	0	3
23	38	0	0.301803335	101325.26	101325.338	101325.26	101325.789	0.450839242	0	0	457.265	0	0	3
24	40	0	0.314925219	101325.258	101325.334	101325.258	101325.789	0.45416257	0	0	456.113	0	0	3
25	42	0	0.328047103	101325.256	101325.331	101325.256	101325.789	0.457312946	0	0	456.158	0	0	3
26	44	0	0.341168987	101325.25	101325.328	101325.25	101325.789	0.460440615	0	0	455.589	0	0	3
27	46	0	0.354290871	101325.245	101325.325	101325.245	101325.789	0.46351635	0	0	455.568	0	0	3
28	47	0	0.367412756	101325.238	101325.322	101325.238	101325.789	0.466625235	0	0	455.043	0	0	3
29	49	0	0.38053464	101325.235	101325.319	101325.235	101325.789	0.469624346	0	0	454.992	0	0	3
30	51	0	0.393656524	101325.23	101325.316	101325.23	101325.789	0.472590816	0	0	454.795	0	0	3
31	53	0	0.406778408	101325.23	101325.313	101325.23	101325.789	0.47537466	0	0	454.631	0	0	3
32	54	0	0.419900292	101325.227	101325.311	101325.227	101325.789	0.47808644	0	0	454.478	0	0	3
33	56	0	0.433022176	101325.228	101325.308	101325.227	101325.789	0.480601121	0	0	454.131	0	0	3
34	58	0	0.44614406	101325.226	101325.306	101325.226	101325.789	0.483003407	0	0	453.96	0	0	3
35	60	0	0.459265944	101325.228	101325.303	101325.226	101325.789	0.485228894	0	0	453.657	0	0	3
36	62	0	0.472387829	101325.228	101325.301	101325.226	101325.789	0.487337788	0	0	453.753	0	0	3
37	64	0	0.485509713	101325.229	101325.299	101325.226	101325.789	0.489287345	0	0	453.637	0	0	3
38	65	0	0.498631597	101325.229	101325.298	101325.226	101325.789	0.491136657	0	0	454.078	0	0	3
39	67	0	0.511753481	101325.23	101325.296	101325.226	101325.789	0.492857241	0	0	454.062	0	0	3
40	69	0	0.524875365	101325.23	101325.281	101325.226	101325.572	0.345979684	0	0	454.737	0	0	3
41	71	0	0.537997249	101325.231	101325.273	101325.226	101325.478	0.2515477	0	0	454.593	0	0	3
42	72	0	0.551119133	101325.23	101325.266	101325.226	101325.448	0.221660578	0	0	455.066	0	0	3
43	74	0	0.564241017	101325.231	101325.261	101325.226	101325.366	0.139203646	0	0	454.833	0	0	3
44	76	0	0.577362902	101325.23	101325.257	101325.226	101325.338	0.111764564	0	0	455.157	0	0	3
45	78	0	0.590484786	101325.231	101325.255	101325.226	101325.311	0.0841434903	0	0	454.915	0	0	3
46	80	0	0.60360667	101325.23	101325.253	101325.226	101325.3	0.0738872491	0	0	455.4	0	0	3
47	82	0	0.616728554	101325.231	101325.251	101325.226	101325.296	0.0699627069	0	0	454.965	0	0	3
48	84	0	0.629850438	101325.23	101325.249	101325.226	101325.293	0.0665704095	0	0	455.26	0	0	3
49	86	0	0.642972322	101325.23	101325.247	101325.226	101325.288	0.0613848523	0	0	454.974	0	0	3
50	87	0	0.656094206	101325.23	101325.246	101325.226	101325.288	0.0613848523	0	0	455.398	0	0	3
51	89	0	0.66921609	101325.231	101325.245	101325.226	101325.286	0.0597454338	0	0	455.022	0	0	3
52	91	0	0.682337975	101325.231	101325.243	101325.226	101325.286	0.0597454338	0	0	455.607	0	0	3
53	93	0	0.695459859	101325.231	101325.242	101325.226	101325.284	0.057928861	0	0	455.24	0	0	3
54	95	0	0.708581743	101325.231	101325.24	101325.226	101325.279	0.0524236794	0	0	455.697	0	0	3
55	96	0	0.721703627	101325.231	101325.239	101325.226	101325.273	0.0470540113	0	0	455.2	0	0	3
56	98	0	0.734825511	101325.231	101325.238	101325.226	101325.272	0.0458976458	0	0	455.821	0	0	3
57	100	0	0.747947395	101325.231	101325.237	101325.226	101325.27	0.0435979606	0	0	455.411	0	0	3
58	102	0	0.761069279	101325.23	101325.236	101325.226	101325.27	0.0435979606	0	0	455.783	0	0	3
59	104	0	0.774191163	101325.23	101325.235	101325.226	101325.265	0.0389023027	0	0	455.107	0	0	3
60	105	0	0.787313048	101325.23	101325.234	101325.226	101325.262	0.0359715664	0	0	455.687	0	0	3
61	107	0	0.800434932	101325.23	101325.233	101325.226	101325.26	0.033561447	0	0	455.096	0	0	3
62	109	0	0.813556816	101325.23	101325.232	101325.226	101325.258	0.0316797238	0	0	455.515	0	0	3
63	111	0	0.8266787	101325.23	101325.232	101325.226	101325.256	0.0293568719	0	0	455.149	0	0	3
64	112	0	0.839800584	101325.231	101325.231	101325.226	101325.25	0.0236464913	0	0	455.656	0	0	3
65	114	0	0.852922468	101325.231	101325.231	101325.226	101325.245	0.0187933989	0	0	455.07	0	0	3
66	116	0	0.866044352	101325.23	101325.23	101325.226	101325.238	0.0117136928	0	0	455.482	0	0	3
67	117	0	0.879166236	101325.23	101325.23	101325.226	101325.235	0.00867940964	0	0	454.992	0	0	3
68	119	0	0.892288121	101325.231	101325.23	101325.226	101325.231	0.00460818833	0	0	455.631	0	0	3
69	121	0	0.905410005	101325.231	101325.23	101325.226	101325.231	0.00460818833	0	0	455.299	0	0	3
70	123	0	0.918531889	101325.231	101325.23	101325.226	101325.231	0.00460818833	0	0	455.801	0	0	3
71	124	0	0.931653773	101325.23	101325.23	101325.226	101325.231	0.00460818833	0	0	455.311	0	0	3
72	126	0	0.944775657	101325.23	101325.23	101325.226	101325.231	0.00460818833	0	0	455.606	0	0	3
73	128	0	0.957897541	101325.23	101325.23	101325.228	101325.231	0.00347842781	0	0	455.096	0	0	3
74	130	0	0.971019425	101325.23	101325.23	101325.228	101325.231	0.00347842781	0	0	455.739	0	0	3
75	131	0	0.98414131	101325.23	101325.23	101325.229	101325.231	0.00189053539	0	0	455.342	0	0	3
76	133	0	0.997263194	101325.23	101325.23	101325.229	101325.231	0.00189053539	0	0	455.759	0	0	3
77	134	0	1.01038508	101325.23	101325.23	101325.23	101325.231	0.00118913082	0.00754643099	100	455.146	0	0	3
