Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0131218841	101325.789	101325.789	101325.789	101325.789	0	0	0	979.621	0	0	3
2	6	0	0.0262437683	101325.572	101325.681	101325.572	101325.789	0.108149578	0	0	1471.98	0	0	3
3	8	0	0.0393656524	101325.478	101325.613	101325.478	101325.789	0.175676766	0	0	1533.76	0	0	3
4	9	0	0.0524875365	101325.448	101325.572	101325.448	101325.789	0.21691214	0	0	1372.81	0	0	3
5	11	0	0.0656094206	101325.366	101325.531	101325.366	101325.789	0.258144751	0	0	1139.06	0	0	3
6	12	0	0.0787313048	101325.338	101325.498	101325.338	101325.789	0.290206339	0	0	931.571	0	0	3
7	14	0	0.0918531889	101325.311	101325.472	101325.311	101325.789	0.317053341	0	0	725.911	0	0	3
8	15	0	0.104975073	101325.3	101325.45	101325.3	101325.789	0.338470622	0	0	633.948	0	0	3
9	17	0	0.118096957	101325.296	101325.433	101325.296	101325.789	0.355564568	0	0	562.199	0	0	3
10	18	0	0.131218841	101325.293	101325.419	101325.293	101325.789	0.369578954	0	0	565.991	0	0	3
11	19	0	0.144340725	101325.286	101325.407	101325.286	101325.789	0.381652864	0	0	537.948	0	0	3
12	21	0	0.15746261	101325.288	101325.397	101325.286	101325.789	0.391589625	0	0	530.624	0	0	3
13	23	0	0.170584494	101325.285	101325.388	101325.285	101325.789	0.400236015	0	0	506.828	0	0	3
14	24	0	0.183706378	101325.286	101325.381	101325.285	101325.789	0.407542972	0	0	497.068	0	0	3
15	25	0	0.196828262	101325.284	101325.375	101325.284	101325.789	0.413996772	0	0	480.287	0	0	3
16	27	0	0.209950146	101325.279	101325.369	101325.279	101325.789	0.419987922	0	0	472.829	0	0	3
17	29	0	0.22307203	101325.273	101325.363	101325.273	101325.789	0.425590093	0	0	468.215	0	0	3
18	30	0	0.236193914	101325.272	101325.358	101325.272	101325.789	0.430634043	0	0	463.076	0	0	3
19	32	0	0.249315798	101325.268	101325.353	101325.268	101325.789	0.435380025	0	0	461.346	0	0	3
20	33	0	0.262437683	101325.27	101325.349	101325.268	101325.789	0.439545068	0	0	458.747	0	0	3
