Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
59	211	0	0.68040811	101311.799	101314.45	101308.239	101327.073	18.8152062	0	0	28934.5	0	0	3
60	214	0	0.691940451	101312.423	101314.117	101308.239	101324.026	15.7870077	0	0	29012.3	0	0	3
61	216	0	0.703472792	101312.926	101313.865	101308.239	101323.361	15.122139	0	0	28885.5	0	0	3
62	219	0	0.715005132	101313.274	101313.635	101308.239	101321.836	13.5971479	0	0	29063	0	0	3
63	221	0	0.726537473	101313.636	101313.451	101308.239	101321.836	13.5971479	0	0	28936.4	0	0	3
64	224	0	0.738069814	101313.758	101313.268	101308.239	101320.375	12.1364206	0	0	28950.9	0	0	3
65	226	0	0.749602155	101313.993	101313.122	101308.239	101319.889	11.6497201	0	0	29005.5	0	0	3
66	229	0	0.761134496	101314.13	101312.992	101308.239	101319.657	11.4178471	0	0	29090.2	0	0	3
67	232	0	0.772666837	101314.257	101312.869	101308.239	101318.997	10.7585463	0	0	28966.7	0	0	3
68	234	0	0.784199177	101314.299	101312.762	101308.239	101318.765	10.5256677	0	0	29103.6	0	0	3
69	236	0	0.795731518	101314.251	101312.659	101308.239	101318.191	9.9524277	0	0	29015.9	0	0	3
70	238	0	0.807263859	101314.401	101312.573	101308.239	101317.698	9.45905663	0	0	28981.6	0	0	3
71	240	0	0.8187962	101314.087	101312.491	101308.239	101317.58	9.34085943	0	0	29081.5	0	0	3
72	243	0	0.830328541	101314.051	101312.411	101308.239	101317.415	9.17588799	0	0	29100.7	0	0	3
73	245	0	0.841860882	101314.04	101312.334	101308.239	101316.877	8.63765221	0	0	29011.6	0	0	3
74	247	0	0.853393223	101314.059	101312.27	101308.239	101316.17	7.93068779	0	0	29174	0	0	3
75	250	0	0.864925563	101314.013	101312.221	101308.239	101315.68	7.44109416	0	0	29068.1	0	0	3
76	252	0	0.876457904	101313.922	101312.181	101308.239	101315.454	7.21510647	0	0	29071.1	0	0	3
77	254	0	0.887990245	101313.832	101312.144	101308.239	101315.013	6.77407695	0	0	29118.5	0	0	3
78	256	0	0.899522586	101313.602	101312.112	101308.239	101314.793	6.55380851	0	0	29215.1	0	0	3
79	259	0	0.911054927	101313.682	101312.087	101308.239	101314.528	6.28933846	0	0	29015.6	0	0	3
80	261	0	0.922587268	101313.72	101312.069	101308.239	101314.401	6.16194416	0	0	29229.4	0	0	3
81	264	0	0.934119608	101313.765	101312.062	101308.239	101314.401	6.16194416	0	0	29018.5	0	0	3
82	266	0	0.945651949	101313.639	101312.057	101308.239	101314.401	6.16194416	0	0	29091.3	0	0	3
83	268	0	0.95718429	101313.715	101312.06	101308.239	101314.401	6.16194416	0	0	29021	0	0	3
84	270	0	0.968716631	101313.793	101312.079	101308.239	101314.401	6.16194416	0	0	29112.6	0	0	3
85	273	0	0.980248972	101313.699	101312.107	101308.239	101314.401	6.16194416	0	0	28974	0	0	3
86	275	0	0.991781313	101313.716	101312.154	101308.239	101314.401	6.16194416	0	0	28992.3	0	0	3
87	278	0	1.00331365	101313.671	101312.216	101308.239	101314.401	6.16194416	0.889218566	14.4	28918.5	0	0	3
88	280	0	1.01484599	101313.707	101312.295	101308.239	101314.401	6.16194416	0.889218566	14.4	29043.3	0	0	3
89	282	0	1.02637834	101313.681	101312.386	101308.239	101314.401	6.16194416	0.889218566	14.4	29028.1	0	0	3
90	284	0	1.03791068	101313.49	101312.483	101308.239	101314.401	6.16194416	0.889218566	14.4	28963.8	0	0	3
91	287	0	1.04944302	101313.568	101312.591	101308.239	101314.401	6.16194416	0.889218566	14.4	29124.4	0	0	3
92	289	0	1.06097536	101313.493	101312.701	101308.239	101314.401	6.16194416	0.889218566	14.4	29089.7	0	0	3
93	291	0	1.0725077	101313.469	101312.815	101308.239	101314.401	6.16194416	0.889218566	14.4	29085.7	0	0	3
94	294	0	1.08404004	101313.398	101312.932	101308.25	101314.401	6.15135585	0.889218566	14.4	29194.9	0	0	3
95	296	0	1.09557238	101313.48	101313.051	101308.416	101314.401	5.70488633	0.889218566	15.5	29216	0	0	3
