Iteration	CPUTime	PhysTime	Travels	CourFact
1	8	0	0.0115323408	0
2	11	0	0.0230646817	0
3	14	0	0.0345970225	0
4	18	0	0.0461293634	0
5	21	0	0.0576617042	0
6	24	0	0.0691940451	0
7	27	0	0.0807263859	0
8	30	0	0.0922587268	0
9	33	0	0.103791068	0
10	37	0	0.115323408	0
11	40	0	0.126855749	0
12	43	0	0.13838809	0
13	46	0	0.149920431	0
14	50	0	0.161452772	0
15	53	0	0.172985113	0
16	57	0	0.184517454	0
17	61	0	0.196049794	0
18	65	0	0.207582135	0
19	68	0	0.219114476	0
20	72	0	0.230646817	0
21	75	0	0.242179158	0
22	79	0	0.253711499	0
23	83	0	0.265243839	0
24	87	0	0.27677618	0
25	91	0	0.288308521	0
26	94	0	0.299840862	0
27	98	0	0.311373203	0
28	101	0	0.322905544	0
29	104	0	0.334437885	0
30	108	0	0.345970225	0
31	111	0	0.357502566	0
32	115	0	0.369034907	0
33	118	0	0.380567248	0
34	123	0	0.392099589	0
35	126	0	0.40363193	0
36	131	0	0.41516427	0
37	135	0	0.426696611	0
38	139	0	0.438228952	0
39	142	0	0.449761293	0
40	147	0	0.461293634	0
41	151	0	0.472825975	0
42	155	0	0.484358315	0
43	159	0	0.495890656	0
44	163	0	0.507422997	0
45	167	0	0.518955338	0
46	171	0	0.530487679	0
47	174	0	0.54202002	0
48	177	0	0.553552361	0
49	180	0	0.565084701	0
50	184	0	0.576617042	0
51	187	0	0.588149383	0
52	190	0	0.599681724	0
53	194	0	0.611214065	0
54	197	0	0.622746406	0
55	200	0	0.634278746	0
56	203	0	0.645811087	0
57	206	0	0.657343428	0
58	209	0	0.668875769	0
59	211	0	0.68040811	0
60	214	0	0.691940451	0
61	216	0	0.703472792	0
62	219	0	0.715005132	0
63	221	0	0.726537473	0
64	224	0	0.738069814	0
65	226	0	0.749602155	0
66	229	0	0.761134496	0
67	232	0	0.772666837	0
68	234	0	0.784199177	0
69	236	0	0.795731518	0
70	238	0	0.807263859	0
71	240	0	0.8187962	0
72	243	0	0.830328541	0
73	245	0	0.841860882	0
74	247	0	0.853393223	0
75	250	0	0.864925563	0
76	252	0	0.876457904	0
77	254	0	0.887990245	0
78	256	0	0.899522586	0
79	259	0	0.911054927	0
80	261	0	0.922587268	0
81	264	0	0.934119608	0
82	266	0	0.945651949	0
83	268	0	0.95718429	0
84	270	0	0.968716631	0
85	273	0	0.980248972	0
86	275	0	0.991781313	0
87	278	0	1.00331365	0
88	280	0	1.01484599	0
89	282	0	1.02637834	0
90	284	0	1.03791068	0
91	287	0	1.04944302	0
92	289	0	1.06097536	0
93	291	0	1.0725077	0
94	294	0	1.08404004	0
95	296	0	1.09557238	0
96	298	0	1.10710472	0
97	301	0	1.11863706	0
98	303	0	1.1301694	0
99	306	0	1.14170174	0
100	309	0	1.15323408	0
101	311	0	1.16476643	0
102	313	0	1.17629877	0
103	316	0	1.18783111	0
104	318	0	1.19936345	0
105	320	0	1.21089579	0
106	322	0	1.22242813	0
107	324	0	1.23396047	0
108	326	0	1.24549281	0
109	328	0	1.25702515	0
110	330	0	1.26855749	0
111	333	0	1.28008983	0
112	335	0	1.29162217	0
113	337	0	1.30315452	0
114	339	0	1.31468686	0
