Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
91	287	0	1.04944302	0	0	0	0	0	5e-006	100	0	0	0	3
92	289	0	1.06097536	0	0	0	0	0	5e-006	100	0	0	0	3
93	291	0	1.0725077	0	0	0	0	0	5e-006	100	0	0	0	3
94	294	0	1.08404004	0	0	0	0	0	5e-006	100	0	0	0	3
95	296	0	1.09557238	0	0	0	0	0	5e-006	100	0	0	0	3
96	298	0	1.10710472	0	0	0	0	0	5e-006	100	0	0	0	3
97	301	0	1.11863706	0	0	0	0	0	5e-006	100	0	0	0	3
98	303	0	1.1301694	0	0	0	0	0	5e-006	100	0	0	0	3
99	306	0	1.14170174	0	0	0	0	0	5e-006	100	0	0	0	3
100	309	0	1.15323408	0	0	0	0	0	5e-006	100	0	0	0	3
101	311	0	1.16476643	0	0	0	0	0	5e-006	100	0	0	0	3
102	313	0	1.17629877	0	0	0	0	0	5e-006	100	0	0	0	3
103	316	0	1.18783111	0	0	0	0	0	5e-006	100	0	0	0	3
104	318	0	1.19936345	0	0	0	0	0	5e-006	100	0	0	0	3
105	320	0	1.21089579	0	0	0	0	0	5e-006	100	0	0	0	3
106	322	0	1.22242813	0	0	0	0	0	5e-006	100	0	0	0	3
107	324	0	1.23396047	0	0	0	0	0	5e-006	100	0	0	0	3
108	326	0	1.24549281	0	0	0	0	0	5e-006	100	0	0	0	3
109	328	0	1.25702515	0	0	0	0	0	5e-006	100	0	0	0	3
110	330	0	1.26855749	0	0	0	0	0	5e-006	100	0	0	0	3
111	333	0	1.28008983	0	0	0	0	0	5e-006	100	0	0	0	3
112	335	0	1.29162217	0	0	0	0	0	5e-006	100	0	0	0	3
113	337	0	1.30315452	0	0	0	0	0	5e-006	100	0	0	0	3
114	339	0	1.31468686	0	0	0	0	0	5e-006	100	0	0	0	3
