Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	8	0	0.0115323408	293.2	293.2	293.2	293.2	0	0	0	0.00158681	0	0	3
2	11	0	0.0230646817	293.2	293.2	293.2	293.2	6.57843202e-008	0	0	0.00220149	0	0	3
3	14	0	0.0345970225	293.199999	293.2	293.199999	293.2	1.24524661e-007	0	0	0.00290905	0	0	3
4	18	0	0.0461293634	293.199999	293.199999	293.199999	293.2	1.87647288e-007	0	0	0.00354844	0	0	3
5	21	0	0.0576617042	293.199999	293.199999	293.199999	293.2	2.51842096e-007	0	0	0.00414205	0	0	3
6	24	0	0.0691940451	293.199999	293.199999	293.199999	293.2	3.34136246e-007	0	0	0.00485338	0	0	3
7	27	0	0.0807263859	293.199999	293.199999	293.199999	293.2	4.30845148e-007	0	0	0.00525548	0	0	3
8	30	0	0.0922587268	293.199998	293.199999	293.199998	293.2	5.39179496e-007	0	0	0.00539127	0	0	3
9	33	0	0.103791068	293.199998	293.199999	293.199998	293.2	6.55344991e-007	0	0	0.00535053	0	0	3
10	37	0	0.115323408	293.199998	293.199999	293.199998	293.2	7.77752291e-007	0	0	0.00521271	0	0	3
11	40	0	0.126855749	293.199997	293.199999	293.199997	293.2	9.13546614e-007	0	0	0.00495105	0	0	3
12	43	0	0.13838809	293.199998	293.199999	293.199997	293.2	9.81033907e-007	0	0	0.00544746	0	0	3
13	46	0	0.149920431	293.199999	293.199999	293.199997	293.2	9.95301434e-007	0	0	0.00718327	0	0	3
14	50	0	0.161452772	293.199999	293.199999	293.199997	293.2	9.95301434e-007	0	0	0.00849862	0	0	3
15	53	0	0.172985113	293.2	293.199999	293.199997	293.2	9.95301434e-007	0	0	0.00905266	0	0	3
16	57	0	0.184517454	293.200001	293.199999	293.199997	293.200001	9.95301434e-007	0	0	0.00966799	0	0	3
17	61	0	0.196049794	293.200003	293.199999	293.199997	293.200003	9.95301434e-007	0	0	0.0100029	0	0	3
18	65	0	0.207582135	293.200004	293.199999	293.199997	293.200004	9.95301434e-007	0	0	0.0100682	0	0	3
19	68	0	0.219114476	293.200005	293.2	293.199997	293.200005	1.0522125e-006	0	0	0.0101121	0	0	3
20	72	0	0.230646817	293.200006	293.2	293.199997	293.200006	1.38360582e-006	0	0	0.0101214	0	0	3
21	75	0	0.242179158	293.200008	293.2	293.199997	293.200008	1.77885619e-006	0	0	0.0100451	0	0	3
22	79	0	0.253711499	293.20001	293.200001	293.199997	293.20001	2.21692943e-006	0	0	0.0100341	0	0	3
23	83	0	0.265243839	293.200012	293.200001	293.199997	293.200012	2.68543272e-006	0	0	0.01	0	0	3
24	87	0	0.27677618	293.200013	293.200002	293.199997	293.200013	3.17791989e-006	0	0	0.00997143	0	0	3
25	91	0	0.288308521	293.200014	293.200002	293.199997	293.200014	3.68106839e-006	0	0	0.00997205	0	0	3
26	94	0	0.299840862	293.200016	293.200003	293.199997	293.200016	4.20630431e-006	0	0	0.00992418	0	0	3
27	98	0	0.311373203	293.200017	293.200003	293.199997	293.200017	4.74365925e-006	0	0	0.0099724	0	0	3
28	101	0	0.322905544	293.200019	293.200004	293.199997	293.200019	5.28547417e-006	0	0	0.00990712	0	0	3
29	104	0	0.334437885	293.20002	293.200005	293.199997	293.20002	5.83329108e-006	0	0	0.0100571	0	0	3
30	108	0	0.345970225	293.200021	293.200005	293.199997	293.200021	6.39191774e-006	0	0	0.00988702	0	0	3
31	111	0	0.357502566	293.200024	293.200006	293.199997	293.200024	6.99482899e-006	0	0	0.010084	0	0	3
32	115	0	0.369034907	293.200027	293.200006	293.199997	293.200027	7.65063083e-006	0	0	0.00983565	0	0	3
33	118	0	0.380567248	293.20003	293.200007	293.199997	293.20003	8.3654615e-006	0	0	0.0101091	0	0	3
34	123	0	0.392099589	293.200033	293.200008	293.199997	293.200033	9.14181766e-006	0	0	0.00988505	0	0	3
35	126	0	0.40363193	293.200037	293.200009	293.199997	293.200037	9.97474791e-006	0	0	0.0100948	0	0	3
36	131	0	0.41516427	293.200042	293.20001	293.199997	293.200042	1.08928519e-005	0	0	0.00996914	0	0	3
37	135	0	0.426696611	293.200046	293.200011	293.199997	293.200046	1.18721672e-005	0	0	0.0101509	0	0	3
38	139	0	0.438228952	293.200049	293.200012	293.199997	293.200049	1.28884902e-005	0	0	0.00971186	0	0	3
39	142	0	0.449761293	293.200052	293.200013	293.199997	293.200052	1.39270482e-005	0	0	0.0100944	0	0	3
40	147	0	0.461293634	293.200055	293.200014	293.199997	293.200055	1.49777091e-005	0	0	0.00974746	0	0	3
41	151	0	0.472825975	293.200058	293.200015	293.199997	293.200058	1.60526261e-005	0	0	0.0100754	0	0	3
42	155	0	0.484358315	293.20006	293.200016	293.199997	293.20006	1.71423201e-005	0	0	0.00974119	0	0	3
43	159	0	0.495890656	293.200063	293.200017	293.199997	293.200063	1.82389562e-005	0	0	0.0103386	0	0	3
44	163	0	0.507422997	293.200065	293.200018	293.199997	293.200065	1.93358309e-005	0	0	0.00976598	0	0	3
45	167	0	0.518955338	293.200067	293.20002	293.199997	293.200067	2.08693344e-005	0	0	0.00996666	0	0	3
46	171	0	0.530487679	293.200069	293.200021	293.199997	293.200069	2.24455584e-005	0	0	0.00983795	0	0	3
47	174	0	0.54202002	293.20007	293.200023	293.199997	293.20007	2.40586402e-005	0	0	0.010204	0	0	3
48	177	0	0.553552361	293.200072	293.200024	293.199997	293.200072	2.57047602e-005	0	0	0.00973948	0	0	3
49	180	0	0.565084701	293.200073	293.200026	293.199997	293.200073	2.73785915e-005	0	0	0.00983875	0	0	3
50	184	0	0.576617042	293.200074	293.200028	293.199997	293.200074	2.90793055e-005	0	0	0.0100398	0	0	3
51	187	0	0.588149383	293.200074	293.200029	293.199997	293.200074	3.0802556e-005	0	0	0.00981923	0	0	3
52	190	0	0.599681724	293.200075	293.200031	293.199997	293.200075	3.25444323e-005	0	0	0.00971076	0	0	3
53	194	0	0.611214065	293.200075	293.200033	293.199997	293.200075	3.43011656e-005	0	0	0.0103865	0	0	3
54	197	0	0.622746406	293.200076	293.200035	293.199997	293.200076	3.60692283e-005	0	0	0.00977195	0	0	3
55	200	0	0.634278746	293.200076	293.200037	293.199998	293.200076	3.78487766e-005	0	0	0.00980132	0	0	3
56	203	0	0.645811087	293.200076	293.200038	293.199999	293.200076	3.9613165e-005	0	0	0.00991572	0	0	3
57	206	0	0.657343428	293.200075	293.20004	293.199999	293.200076	4.13377156e-005	0	0	0.0100295	0	0	3
58	209	0	0.668875769	293.200075	293.200042	293.2	293.200076	4.29688931e-005	0	0	0.00997348	0	0	3
59	211	0	0.68040811	293.200075	293.200043	293.200001	293.200076	4.45206065e-005	0	0	0.0097005	0	0	3
60	214	0	0.691940451	293.200074	293.200045	293.200003	293.200076	4.59616703e-005	0	0	0.0101812	0	0	3
61	216	0	0.703472792	293.200074	293.200047	293.200004	293.200076	4.73147682e-005	0	0	0.00984958	0	0	3
62	219	0	0.715005132	293.200073	293.200048	293.200005	293.200076	4.85812296e-005	0	0	0.0101063	0	0	3
63	221	0	0.726537473	293.200073	293.20005	293.200006	293.200076	4.977912e-005	0	0	0.00980105	0	0	3
64	224	0	0.738069814	293.200072	293.200051	293.200008	293.200076	5.0876136e-005	0	0	0.00997571	0	0	3
65	226	0	0.749602155	293.200071	293.200053	293.20001	293.200076	5.18724486e-005	0	0	0.00993177	0	0	3
66	229	0	0.761134496	293.200071	293.200054	293.200012	293.200076	5.27868845e-005	0	0	0.0103583	0	0	3
67	232	0	0.772666837	293.20007	293.200055	293.200013	293.200076	5.36299504e-005	0	0	0.00987963	0	0	3
68	234	0	0.784199177	293.20007	293.200057	293.200014	293.200076	5.44171851e-005	0	0	0.00978523	0	0	3
69	236	0	0.795731518	293.20007	293.200058	293.200016	293.200076	5.51450702e-005	0	0	0.00984485	0	0	3
70	238	0	0.807263859	293.200069	293.200059	293.200017	293.200076	5.58152407e-005	0	0	0.0101071	0	0	3
71	240	0	0.8187962	293.200069	293.20006	293.200019	293.200076	5.64439423e-005	0	0	0.00992396	0	0	3
72	243	0	0.830328541	293.200069	293.200062	293.20002	293.200076	5.58517698e-005	0	0	0.0102859	0	0	3
73	245	0	0.841860882	293.200068	293.200063	293.200021	293.200076	5.44318454e-005	0	0	0.00975873	0	0	3
74	247	0	0.853393223	293.200068	293.200064	293.200024	293.200076	5.19417725e-005	0	0	0.00973192	0	0	3
75	250	0	0.864925563	293.200068	293.200065	293.200027	293.200076	4.90434483e-005	0	0	0.0100425	0	0	3
76	252	0	0.876457904	293.200068	293.200066	293.20003	293.200076	4.57838976e-005	0	0	0.01005	0	0	3
77	254	0	0.887990245	293.200068	293.200067	293.200033	293.200076	4.22623665e-005	0	0	0.00964635	0	0	3
78	256	0	0.899522586	293.200068	293.200067	293.200037	293.200076	3.872956e-005	0	0	0.0104145	0	0	3
79	259	0	0.911054927	293.200068	293.200068	293.200042	293.200076	3.3997445e-005	0	0	0.00974837	0	0	3
80	261	0	0.922587268	293.200068	293.200069	293.200046	293.200076	2.98964183e-005	0	0	0.00976568	0	0	3
81	264	0	0.934119608	293.200068	293.200069	293.200049	293.200076	2.65314943e-005	0	0	0.00958582	0	0	3
82	266	0	0.945651949	293.200068	293.20007	293.200052	293.200076	2.3631686e-005	0	0	0.0100839	0	0	3
83	268	0	0.95718429	293.200068	293.20007	293.200055	293.200076	2.10704537e-005	0	0	0.0100649	0	0	3
84	270	0	0.968716631	293.200068	293.20007	293.200058	293.200076	1.79746305e-005	0	0	0.0105536	0	0	3
85	273	0	0.980248972	293.200068	293.20007	293.20006	293.200076	1.52041609e-005	0	0	0.0100408	0	0	3
86	275	0	0.991781313	293.200068	293.200071	293.200063	293.200076	1.27262639e-005	0	0	0.0100221	0	0	3
87	278	0	1.00331365	293.200068	293.200071	293.200065	293.200076	1.05224975e-005	2.93200068e-006	27.8	0.00974769	0	0	3
88	280	0	1.01484599	293.200068	293.200071	293.200067	293.200076	8.5544774e-006	2.93200068e-006	34.2	0.00975853	0	0	3
89	282	0	1.02637834	293.200068	293.200071	293.200068	293.200076	7.91858281e-006	2.93200068e-006	37	0.0100779	0	0	3
90	284	0	1.03791068	293.200068	293.200071	293.200068	293.200076	7.91858281e-006	2.93200068e-006	37	0.00982843	0	0	3
91	287	0	1.04944302	293.200068	293.200071	293.200068	293.200076	7.91858281e-006	2.93200068e-006	37	0.0102492	0	0	3
92	289	0	1.06097536	293.200068	293.200071	293.200068	293.200076	7.91858281e-006	2.93200068e-006	37	0.0100255	0	0	3
93	291	0	1.0725077	293.200068	293.200071	293.200068	293.200076	7.91858281e-006	2.93200068e-006	37	0.0101005	0	0	3
94	294	0	1.08404004	293.200068	293.20007	293.200068	293.200076	7.91858281e-006	2.93200068e-006	37	0.00949814	0	0	3
95	296	0	1.09557238	293.200068	293.20007	293.200068	293.200076	7.91858281e-006	2.93200068e-006	37	0.0103825	0	0	3
96	298	0	1.10710472	293.200068	293.20007	293.200068	293.200076	7.91858281e-006	2.93200068e-006	37	0.00965486	0	0	3
97	301	0	1.11863706	293.200068	293.20007	293.200068	293.200076	7.91858281e-006	2.93200068e-006	37	0.00976028	0	0	3
98	303	0	1.1301694	293.200068	293.20007	293.200068	293.200076	7.91858281e-006	2.93200068e-006	37	0.0101235	0	0	3
99	306	0	1.14170174	293.200068	293.20007	293.200068	293.200076	7.79964108e-006	2.93200068e-006	37.5	0.0100157	0	0	3
100	309	0	1.15323408	293.200068	293.200069	293.200068	293.200075	7.63332162e-006	2.93200068e-006	38.4	0.00987627	0	0	3
101	311	0	1.16476643	293.200068	293.200069	293.200068	293.200075	7.2624357e-006	2.93200068e-006	40.3	0.0102883	0	0	3
102	313	0	1.17629877	293.200068	293.200069	293.200068	293.200075	6.91727951e-006	2.93200068e-006	42.3	0.00998865	0	0	3
103	316	0	1.18783111	293.200068	293.200069	293.200068	293.200074	6.42325841e-006	2.93200068e-006	45.6	0.00966819	0	0	3
104	318	0	1.19936345	293.200068	293.200069	293.200068	293.200074	5.90694094e-006	2.93200068e-006	49.6	0.0101171	0	0	3
105	320	0	1.21089579	293.200068	293.200069	293.200068	293.200073	5.34151957e-006	2.93200068e-006	54.8	0.00997887	0	0	3
106	322	0	1.22242813	293.200068	293.200069	293.200068	293.200073	4.77926574e-006	2.93200068e-006	61.3	0.00980912	0	0	3
107	324	0	1.23396047	293.200068	293.200069	293.200068	293.200072	4.23444726e-006	2.93200068e-006	69.2	0.0104245	0	0	3
108	326	0	1.24549281	293.200068	293.200068	293.200068	293.200071	3.69148586e-006	2.93200068e-006	79.4	0.0099727	0	0	3
109	328	0	1.25702515	293.200068	293.200068	293.200068	293.200071	3.16043514e-006	2.93200068e-006	92.7	0.0099573	0	0	3
110	330	0	1.26855749	293.200068	293.200068	293.200068	293.20007	2.65148628e-006	2.93200068e-006	100	0.00985431	0	0	3
111	333	0	1.28008983	293.200068	293.200068	293.200068	293.20007	2.17663103e-006	2.93200068e-006	100	0.00993415	0	0	3
112	335	0	1.29162217	293.200068	293.200068	293.200068	293.20007	1.78860392e-006	2.93200068e-006	100	0.00977365	0	0	3
113	337	0	1.30315452	293.200068	293.200068	293.200068	293.200069	1.36296455e-006	2.93200068e-006	100	0.0104247	0	0	3
114	339	0	1.31468686	293.200068	293.200068	293.200068	293.200069	1.11226359e-006	2.93200068e-006	100	0.00960325	0	0	3
